PLU_ID,Park,Class,Subtype,PLU Display Name,Units,Revenue,P/C,2024 Product
131698,SWF,Pass,Silver,APO/SWF 15 Month Pass Voucher Adult,38,7296.0,192.0,2-Park Silver Pass
132358,SWF,Pass,Platinum,FL Platinum 15 Month Voucher Sale Adult,14,4704.0,336.0,Platinum Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,8,1024.0,128.0,1-Park Silver Pass
109670,SWF,SDT,Consumer Direct,SWF 1Day Convention Ticket Adult,4,276.0,69.0,Intended Day SDT
152501,SWF,MDT/MPT,Consumer Direct,APO/SWF SeaWorld and Aquatica Orlando for DCO Affl,-1,-39.0,39.0,Ignore
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,634,50775.04,80.08681388012619,Intended Day SDT
-1,SWF,MDT/MPT,Consumer Direct,Unknown,241,9179.0,38.087136929460584,Not Sure
131744,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Voucher Adult,15,3780.0,252.0,4-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,96,10559.04,109.99,Intended Day SDT + ADD
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,5,849.95,169.99,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,28,2799.72,99.99,Intended Day SDT
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,9,1764.0,196.0,2-Park Silver Pass
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,5,760.0,152.0,2-Park Silver Pass
131674,SWF,Pass,Silver,SWF 15 Month Pass Voucher Adult,101,16968.0,168.0,1-Park Silver Pass
149854,SWF,MDT/MPT,Consumer Direct,APO/SWF 1vpp 2017 Blue Friday BOGO Paid Ages 3+,-3,-449.97,149.99,BOGO
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,108,10798.92,99.99,1-Park Fun Card
131747,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Voucher Adult,56,14112.0,252.0,4-Park Silver Pass
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,4,752.0,188.0,2-Park Silver Pass
131692,SWF,Pass,Silver,BGT/SWF 15 Month Pass Voucher Adult,97,20952.0,216.0,2-Park Silver Pass
131698,SWF,Pass,Silver,APO/SWF 15 Month Pass Voucher Adult,47,9024.0,192.0,2-Park Silver Pass
132358,SWF,Pass,Platinum,FL Platinum 15 Month Voucher Sale Adult,10,3360.0,336.0,Platinum Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,5,640.0,128.0,1-Park Silver Pass
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,5,600.0,120.0,1-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,123,14758.77,119.99,2-Park 2-Day Ticket
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,9,1592.91,176.99,2-Park Fun Card
131674,SWF,Pass,Silver,SWF 15 Month Pass Voucher Adult,1,168.0,168.0,1-Park Silver Pass
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,649,51290.47,79.03,Intended Day SDT
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,7,1225.0,175.0,1-Park Silver Pass
131744,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Voucher Adult,1,252.0,252.0,4-Park Silver Pass
142675,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Renewal Voucher Adult,1,232.0,232.0,4-Park Silver Pass
114338,SWF,Pass,Silver,APO/BGT/SWF 1 Year Voucher Passport,3,756.0,252.0,4-Park Silver Pass
142671,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Renewal Voucher Adult,2,464.0,232.0,4-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,75,8249.25,109.99,Intended Day SDT + ADD
131692,SWF,Pass,Silver,BGT/SWF 15 Month Pass Voucher Adult,11,2376.0,216.0,2-Park Silver Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,1,155.0,155.0,1-Park Silver Pass
142694,SWF,Pass,Platinum,Florida 15 Month Platinum Renewal Voucher Adult1,4,1264.0,316.0,Platinum Pass
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,18,3304.15,183.5638888888889,2-Park Fun Card
114330,SWF,Pass,Silver,APO/SWF 1 Year Pass Voucher,1,200.0,200.0,2-Park Silver Pass
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,91,9099.09,99.99,1-Park Fun Card
-1,SWF,MDT/MPT,Consumer Direct,Unknown,242,9300.94,38.43363636363637,Not Sure
131747,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Voucher Adult,7,1764.0,252.0,4-Park Silver Pass
132226,SWF,Pass,Platinum,Florida 1 Year Platinum Voucher,1,336.0,336.0,Platinum Pass
142674,SWF,Pass,Silver,AIT/BGT/SWF 15 Month PassRenewal Voucher Senior,1,224.0,224.0,4-Park Silver Pass
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,2,339.98,169.99,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,61,4893.04,80.21377049180327,Intended Day SDT
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,4,880.0,220.0,2-Park Silver Pass
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,5,944.0,188.8,2-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,190,22910.44,120.58126315789472,2-Park 2-Day Ticket
158862,SWF,SDT,Consumer Direct,SWF SDT YMCA T90 Ages3+ ,2,139.98,69.99,Intended Day SDT
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,29,2571.95,88.68793103448276,Intended Day SDT
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,4,768.0,192.0,2-Park Silver Pass
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,1,180.0,180.0,2-Park Silver Pass
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,552,44098.31,79.88824275362319,Intended Day SDT
-1,SWF,MDT/MPT,Consumer Direct,Unknown,206,7137.08,34.64601941747573,Not Sure
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,7,1225.0,175.0,1-Park Silver Pass
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,7,1540.0,220.0,2-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,80,8799.2,109.99,Intended Day SDT + ADD
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,2,339.98,169.99,LOS
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,3,465.0,155.0,1-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,123,14560.93,118.38154471544716,2-Park 2-Day Ticket
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,89,8899.11,99.99000000000001,1-Park Fun Card
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,3,530.97,176.99,2-Park Fun Card
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,2,400.0,200.0,2-Park Silver Pass
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,598,47834.02,79.99,Intended Day SDT
-1,SWF,MDT/MPT,Consumer Direct,Unknown,379,14078.0,37.14511873350923,Not Sure
109598,SWF,Pass,Silver,SWF Silver Pass Voucher Adult,4,700.0,175.0,1-Park Silver Pass
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,61,5043.92,82.6872131147541,Intended Day SDT
109622,SWF,Pass,Silver,BGT/SWF Silver Pass Voucher Adult,4,880.0,220.0,2-Park Silver Pass
154185,SWF,SDT,Consumer Direct,SWF Any Day 2017 Blue Friday BOGO Full Paid Ages3+,-3,-299.97,99.99000000000001,BOGO
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,2,384.0,192.0,2-Park Silver Pass
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,4,720.0,180.0,2-Park Silver Pass
114330,SWF,Pass,Silver,APO/SWF 1 Year Pass Voucher,3,437.89,145.96333333333334,2-Park Silver Pass
142694,SWF,Pass,Platinum,Florida 15 Month Platinum Renewal Voucher Adult1,-1,-316.0,316.0,Platinum Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,109,13078.91,119.99,2-Park 2-Day Ticket
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,68,6472.07,95.1775,1-Park Fun Card
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,8,1415.92,176.99,2-Park Fun Card
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,11,1869.89,169.99,LOS
152501,SWF,MDT/MPT,Consumer Direct,APO/SWF SeaWorld and Aquatica Orlando for DCO Affl,-2,-78.0,39.0,Ignore
109650,SWF,Pass,Silver,AIT/BGT/SWF Silver Pass Voucher Adult,5,1260.0,252.0,4-Park Silver Pass
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,3,465.0,155.0,1-Park Silver Pass
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,1,147.0,147.0,1-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,81,8909.19,109.99,Intended Day SDT + ADD
-1,SWF,MDT/MPT,Consumer Direct,Unknown,404,15963.04,39.512475247524755,Not Sure
